game_id,play_id,desc,penalty_accepted,decision_team,down,ydstogo,yardline_100,decline_down,decline_ydstogo,decline_yardline_100,decline_pred,accept_down,accept_ydstogo,accept_yardline_100,accept_pred,correct_call,diff
2022_17_JAX_HOU,2654,"(3:06) (Shotgun) 3-C.Beathard pass short right to 22-J.Hasty pushed ob at HOU 39 for 6 yards (48-C.Harris). Penalty on HOU-45-O.Okoronkwo, Defensive Holding, declined.",FALSE,Offense,3,2,45,1,10,39,0.7240864626157828,1,10,35,0.7233657644714775,TRUE,7.206981443053095e-4
2022_10_JAX_KC,1731,"(1:45) (Shotgun) 15-P.Mahomes scrambles left end ran ob at JAX 29 for 12 yards (23-F.Oluokun). PENALTY on JAX-23-F.Oluokun, Defensive Holding, 5 yards, enforced at JAX 29.",TRUE,Offense,2,2,41,1,10,29,0.7222825401848527,1,10,36,0.7235460479639603,TRUE,0.0012635077791075533
2022_13_NO_TB,177,"(12:08) 12-T.Brady pass short left to 17-R.Gage to NO 36 for 11 yards (27-A.Taylor). Penalty on NO-27-A.Taylor, Defensive Holding, declined.",FALSE,Offense,1,10,47,1,10,36,0.7235460479639603,1,10,37,0.7237262588383283,FALSE,1.802108743680364e-4
2022_18_TEN_JAX,2007,"(11:19) (Shotgun) 16-T.Lawrence pass short left to 13-C.Kirk to TEN 32 for 16 yards (30-T.Avery). Penalty on TEN-30-T.Avery, Defensive Holding, declined.",FALSE,Offense,3,7,48,1,10,32,0.7228244785791282,1,10,38,0.7239063970653266,FALSE,0.0010819184861983189
2022_15_MIA_BUF,2088,"(:12) (Shotgun) 17-J.Allen pass incomplete short right to 13-G.Davis. PENALTY on MIA-25-X.Howard, Defensive Holding, 5 yards, enforced at MIA 9 - No Play.",TRUE,Offense,2,5,9,3,5,9,0.45950472632876305,1,10,4,0.717741121070142,TRUE,0.25823639474137894
2022_17_PIT_BAL,3172,"(2:06) (No Huddle, Shotgun) 8-K.Pickett pass short middle to 82-S.Sims to BAL 22 for 28 yards (32-M.Williams). Penalty on BAL-14-K.Hamilton, Defensive Holding, declined.",FALSE,Offense,1,10,50,1,10,22,0.7210154842821276,1,10,40,0.7242664554606071,FALSE,0.0032509711784795003
2022_03_SF_DEN,2651,"(5:24) (Shotgun) 3-R.Wilson pass incomplete deep right to 10-J.Jeudy [92-K.Hyder]. PENALTY on SF-38-D.Lenoir, Defensive Holding, 5 yards, enforced at SF 46 - No Play.",TRUE,Offense,3,3,46,4,3,46,0.3183450757210981,1,10,41,0.7244463755707921,TRUE,0.40610129984969395
2022_07_DET_DAL,2964,"(7:11) (Shotgun) 4-D.Prescott pass incomplete short right to 88-C.Lamb. PENALTY on DET-34-A.Anzalone, Defensive Holding, 5 yards, enforced at DET 48 - No Play.",TRUE,Offense,3,4,48,4,4,48,0.2840941085012003,1,10,43,0.7248059974716272,TRUE,0.4407118889704269
2022_04_NYJ_PIT,1787,"(1:56) (Shotgun) 2-Z.Wilson pass incomplete deep right to 32-Mi.Carter. PIT-34-T.Edmunds was injured during the play. NYJ-61-M.Mitchell was injured during the play.  PENALTY on PIT-35-A.Maulet, Defensive Holding, 5 yards, enforced at PIT 49 - No Play.",TRUE,Offense,3,5,49,4,5,49,0.2519951087661476,1,10,44,0.7249856992046749,TRUE,0.4729905904385273
2022_02_MIA_BAL,1427,"(4:53) (Shotgun) 8-L.Jackson scrambles right end to MIA 31 for 19 yards (94-C.Wilkins). PENALTY on MIA-25-X.Howard, Defensive Holding, 5 yards, enforced at MIA 31.",TRUE,Offense,2,5,50,1,10,31,0.7226439049083874,1,10,45,0.7251653280878786,TRUE,0.0025214231794912223
2022_03_JAX_LAC,1647,"(4:12) 16-T.Lawrence pass deep right to 13-C.Kirk pushed ob at LAC 21 for 35 yards (24-N.Adderley). Penalty on LAC-32-A.Gilman, Defensive Holding, declined.",FALSE,Offense,1,10,56,1,10,21,0.7208341872540871,1,10,46,0.7253448840926427,FALSE,0.00451069683855565
2022_16_SEA_KC,706,"(3:36) (Shotgun) 15-P.Mahomes pass incomplete short middle to 19-K.Toney [52-D.Taylor]. PENALTY on SEA-56-J.Brooks, Defensive Holding, 5 yards, enforced at KC 49 - No Play.",TRUE,Offense,2,2,51,3,2,51,0.5913341560518258,1,10,46,0.7253448840926427,TRUE,0.13401072804081693
2022_11_KC_LAC,3646,"(1:12) (Shotgun) 15-P.Mahomes pass incomplete deep right to 84-Ju.Watson. PENALTY on LAC-3-D.James, Defensive Holding, 5 yards, enforced at KC 49 - No Play.",TRUE,Offense,3,4,51,4,4,51,0.284644247245444,1,10,46,0.7253448840926427,TRUE,0.44070063684719873
2022_11_LV_DEN,3404,"(5:19) (Shotgun) 3-R.Wilson pass short left to 25-M.Gordon pushed ob at LV 36 for 21 yards (30-D.Harmon) [91-B.Nichols]. Penalty on LV-27-S.Webb, Defensive Holding, declined.",FALSE,Offense,1,10,57,1,10,36,0.7235460479639603,1,10,47,0.7255243671904547,FALSE,0.001978319226494385
2022_02_CIN_DAL,2668,"(2:53) (Shotgun) 10-C.Rush pass incomplete short middle to 85-N.Brown. PENALTY on CIN-20-E.Apple, Defensive Holding, 5 yards, enforced at DAL 47 - No Play.",TRUE,Offense,3,2,53,4,2,53,0.3565380249798624,1,10,48,0.7257037773528838,TRUE,0.3691657523730214
2022_04_BUF_BAL,1816,"(1:37) (Shotgun) 17-J.Allen pass deep left to 14-S.Diggs to BAL 41 for 17 yards (44-M.Humphrey). Penalty on BAL-44-M.Humphrey, Defensive Holding, declined.",FALSE,Offense,2,5,58,1,10,41,0.7244463755707921,1,10,48,0.7257037773528838,FALSE,0.0012574017820917716
2022_01_NYG_TEN,3825,"(:29) (Shotgun) 17-R.Tannehill pass incomplete deep left to 18-K.Philips. PENALTY on NYG-30-D.Holmes, Defensive Holding, 5 yards, enforced at TEN 47 - No Play.",TRUE,Offense,3,4,53,4,4,53,0.2850113625368768,1,10,48,0.7257037773528838,TRUE,0.440692414816007
2022_20_JAX_KC,2763,"(13:04) (Shotgun) 16-T.Lawrence pass deep right to 7-Z.Jones pushed ob at KC 22 for 37 yards (35-Ja.Watson). Penalty on KC-21-T.McDuffie, Defensive Holding, declined.",FALSE,Offense,2,9,59,1,10,22,0.7210154842821276,1,10,49,0.725883114551582,FALSE,0.00486763026945447
2022_10_DEN_TEN,1667,"(5:56) 28-L.Murray left guard to DEN 46 for 1 yard (56-M.Rice). PENALTY on TEN-91-L.Murchison, Defensive Holding, 5 yards, enforced at DEN 46.",TRUE,Offense,2,3,55,3,2,54,0.5919872784828526,1,10,50,0.7260623787582833,TRUE,0.13407510027543068
2022_18_LAC_DEN,2060,"(:19) (Shotgun) 3-R.Wilson pass deep left to 10-J.Jeudy pushed ob at LAC 3 for 57 yards (32-A.Gilman). Penalty on LAC-32-A.Gilman, Defensive Holding, declined.",FALSE,Offense,1,10,60,1,10,3,0.7175585297397457,1,10,50,0.7260623787582833,FALSE,0.008503849018537624
2022_05_ATL_TB,3861,"(3:18) (Shotgun) 12-T.Brady pass incomplete short middle to 14-C.Godwin. PENALTY on ATL-24-A.Terrell, Defensive Holding, 5 yards, enforced at TB 43 - No Play.",TRUE,Offense,3,4,57,4,4,57,0.2857464466353303,1,10,52,0.7264206880830422,TRUE,0.4406742414477119
2022_02_CIN_DAL,3814,"(:57) (Shotgun) 10-C.Rush pass short left to 88-C.Lamb to DAL 43 for 8 yards (21-M.Hilton). Penalty on CIN-33-T.Flowers, Defensive Holding, declined.",FALSE,Offense,1,10,65,2,2,57,0.7919299021030074,1,10,55,0.7269576039282822,TRUE,0.06497229817472516
2022_01_CLE_CAR,566,"(5:04) (Shotgun) 7-J.Brissett pass incomplete deep left to 27-K.Hunt. PENALTY on CAR-8-J.Horn, Defensive Holding, 5 yards, enforced at CLE 40 - No Play.",TRUE,Offense,3,5,60,4,5,60,0.2538680930118279,1,10,55,0.7269576039282822,TRUE,0.47308951091645435
2022_06_BUF_KC,1065,"(12:17) 15-P.Mahomes pass deep left to 87-T.Kelce pushed ob at BUF 42 for 25 yards (3-D.Hamlin). Penalty on BUF-30-D.Jackson, Defensive Holding, declined.",FALSE,Offense,1,10,67,1,10,42,0.724626222917413,1,10,57,0.727315182072202,FALSE,0.0026889591547890612
2022_04_TEN_IND,1562,"(6:17) (Shotgun) 2-M.Ryan pass short middle to 1-P.Campbell to TEN 49 for 18 yards (47-A.Adams) [99-R.Weaver]. Penalty on TEN-21-R.McCreary, Defensive Holding, declined.",FALSE,Offense,3,2,67,1,10,49,0.725883114551582,1,10,57,0.727315182072202,FALSE,0.0014320675206199729
2022_02_MIN_PHI,904,"(:39) (No Huddle) 26-M.Sanders left guard to PHI 40 for 3 yards (93-J.Bullard). PENALTY on MIN-93-J.Bullard, Defensive Holding, 5 yards, enforced at PHI 40.",TRUE,Offense,2,4,63,3,1,60,0.6323359614662651,1,10,58,0.7274938613352175,TRUE,0.0951578998689524
2022_17_LA_LAC,1369,"(3:32) 10-J.Herbert pass short right to 7-G.Everett pushed ob at LAC 39 for 7 yards (24-T.Rapp). Penalty on LA-96-K.Thomas, Defensive Holding, declined.",FALSE,Offense,2,3,68,1,10,61,0.7280294595584126,1,10,58,0.7274938613352175,TRUE,5.35598223195044e-4
2022_05_HOU_JAX,2656,"(14:21) (Shotgun) 16-T.Lawrence scrambles left end pushed ob at JAX 48 for 12 yards (58-C.Kirksey). PENALTY on HOU-25-D.King, Defensive Holding, 5 yards, enforced at JAX 48.",TRUE,Offense,3,5,64,1,10,52,0.7264206880830422,1,10,59,0.7276724673555405,TRUE,0.0012517792724983101
2022_01_NYG_TEN,3741,"(:41) (Shotgun) 17-R.Tannehill pass incomplete short middle to 16-T.Burks (55-J.Ward). PENALTY on NYG-59-A.Calitro, Defensive Holding, 5 yards, enforced at TEN 36 - No Play.",TRUE,Offense,3,4,64,4,4,64,0.28703557658544127,1,10,59,0.7276724673555405,TRUE,0.4406368907700992
2022_05_LAC_CLE,3106,"(1:11) (Shotgun) 7-J.Brissett pass short left to 85-D.Njoku to LAC 2 for 9 yards (3-D.James) [99-J.Tillery]. Penalty on LAC-3-D.James, Defensive Holding, declined.",FALSE,Offense,3,5,11,1,10,2,0.7173758668031036,1,10,6,0.7181060887843153,FALSE,7.302219812116428e-4
2022_02_HOU_DEN,1238,"(1:06) 3-R.Wilson pass incomplete short left to 16-T.Cleveland. PENALTY on HOU-25-D.King, Defensive Holding, 6 yards, enforced at DEN 34 - No Play.",TRUE,Offense,3,1,66,4,1,66,0.39794145860949287,1,10,60,0.7278510001057265,TRUE,0.3299095414962336
2022_16_PHI_DAL,2697,"(4:20) (Shotgun) 10-G.Minshew pass incomplete short right to 11-A.Brown. PENALTY on DAL-26-D.Bland, Defensive Holding, 6 yards, enforced at PHI 34 - No Play.",TRUE,Offense,2,1,66,3,1,66,0.6335920438424999,1,10,60,0.7278510001057265,TRUE,0.09425895626322656
2022_05_SEA_NO,2549,"(11:31) 20-R.Penny left end pushed ob at SEA 39 for 6 yards (92-M.Davenport; 55-K.Elliss). SEA-20-R.Penny was injured during the play. His return is Questionable.  PENALTY on NO-99-S.Tuttle, Defensive Holding, 5 yards, enforced at SEA 39.",TRUE,Offense,2,2,67,1,10,61,0.7280294595584126,1,10,62,0.7282078456863181,TRUE,1.7838612790554986e-4
2022_12_NYG_DAL,1066,"(13:43) (Shotgun) 26-S.Barkley up the middle to NYG 33 for no gain (92-D.Armstrong; 96-N.Gallimore). PENALTY on DAL-91-C.Watkins, Defensive Holding, 5 yards, enforced at NYG 33 - No Play.",TRUE,Offense,3,2,67,4,2,67,0.35943748584269997,1,10,62,0.7282078456863181,TRUE,0.36877035984361817
