desc,down,ydstogo,yardline_100,penalty_yards,penalty_accepted,penalty_type
"(:48) (Shotgun) PENALTY on IND-72-B.Smith, False Start, 5 yards, enforced at HOU 37 - No Play.",3,13,37,-5,TRUE,False Start
"(12:17) 28-J.Taylor right end to IND 26 for 1 yard (58-C.Kirksey, 52-J.Greenard). PENALTY on HOU-96-M.Collins, Defensive Holding, 5 yards, enforced at IND 26.",1,10,75,5,TRUE,Defensive Holding
"(10:24) (Shotgun) 2-M.Ryan pass short right to 28-J.Taylor to HOU 44 for 14 yards (51-K.Grugier-Hill, 58-C.Kirksey). PENALTY on IND-56-Q.Nelson, Ineligible Downfield Pass, 5 yards, enforced at IND 42 - No Play.",2,10,58,-5,TRUE,Ineligible Downfield Pass
"(9:53) (Shotgun) 2-M.Ryan pass incomplete short middle to 14-A.Pierce [50-M.Dwumfour]. PENALTY on HOU-5-J.Pitre, Unnecessary Roughness, 15 yards, enforced at IND 37 - No Play.",2,15,63,15,TRUE,Unnecessary Roughness
"(8:23) (Shotgun) 10-D.Mills pass short left to 15-C.Moore to IND 42 for 11 yards (31-B.Facyson, 23-K.Moore) [90-G.Stewart]. PENALTY on IND-91-Y.Ngakoue, Roughing the Passer, 15 yards, enforced at IND 42.",2,5,53,15,TRUE,Roughing the Passer
"(4:38) 11-C.Johnston punts 50 yards to IND 43, Center-46-J.Weeks. 21-N.Hines to IND 45 for 2 yards (20-I.Yiadom). PENALTY on IND-45-E.Speed, Running Into the Kicker, 5 yards, enforced at HOU 7 - No Play.",4,4,93,5,TRUE,Running Into the Kicker
"(2:38) 10-D.Mills pass incomplete deep left to 13-B.Cooks [54-D.Odeyingbo]. PENALTY on IND-23-K.Moore, Defensive Pass Interference, 21 yards, enforced at HOU 25 - No Play.",1,10,75,21,TRUE,Defensive Pass Interference
"(14:56) (Run formation) PENALTY on HOU, Delay of Game, 5 yards, enforced at IND 36 - No Play.",4,3,36,-5,TRUE,Delay of Game
"(10:47) (Field Goal formation) PENALTY on IND, Delay of Game, 5 yards, enforced at HOU 4 - No Play.",4,4,4,-5,TRUE,Delay of Game
"(4:44) (Shotgun) 10-D.Mills pass incomplete short left to 12-N.Collins. Penalty on HOU, Illegal Shift, declined.",3,8,62,NA,FALSE,NA
